epci,libepci,nature_epci,nb_com
200035731,Communauté d'agglomération Roannais Agglomération,CA,40
200035756,Communauté de communes Astarac Arros en Gascogne,CC,37
200035764,Communauté de communes de la Beauce Loirétaine,CC,23
200035772,Communauté de communes du Pays du Saintois,CC,55
200035814,Communauté d'agglomération Flers Agglo,CA,42
200035848,Communauté de communes du Châtillonnais en Berry,CC,10
200035855,Communauté de communes Castelnaudary Lauragais Audois,CC,43
200035863,"Communauté de communes Région Lézignanaise, Corbières et Minervois",CC,54
200035970,Communauté de communes Vexin Centre,CC,33
200036069,Communauté de communes du Pays de Mortagne au Perche,CC,33
200036077,Communauté de communes du Golfe de Saint-Tropez,CC,12
200036135,Communauté de communes Cœur de France,CC,19
200036150,Communauté de communes des Hauts du Val de Saône,CC,48
200036465,Communauté de communes de Thann-Cernay,CC,16
200036473,Communauté d'agglomération de Saintes - Grandes Rives - L'Agglo,CA,36
200036499,Communauté de communes de Marana-Golo,CC,10
200036523,Communauté de communes des Bastides en Haut Agenais Périgord,CC,43
200036549,Communauté de communes Val de Gray,CC,48
200037059,Communauté de communes de la Haute Somme (Combles - Péronne - Roisel),CC,60
200037133,Communauté de communes du Provinois,CC,39
200038958,Communauté de communes de la Pieve de l'Ornano et du Taravo,CC,28
200038990,Communauté de communes de Saint-Méen Montauban,CC,17
200039022,Communauté d'agglomération Vitré Communauté,CA,46
200039055,Communauté de communes Ouche et Montagne,CC,32
200039063,"Communauté de communes Forêts, Seine et Suzon",CC,25
200039204,Communauté de communes de Lacq-Orthez,CC,60
200039519,Communauté de communes du Quercy Blanc,CC,9
200039642,Communauté de communes Le Tonnerrois en Bourgogne,CC,52
200039709,Communauté de communes du Serein,CC,35
200039758,"Communauté de communes Avallon, Vézelay, Morvan",CC,48
200039808,Communauté de communes des Gorges de l'Ardèche,CC,20
200039824,Communauté de communes Ardèche des Sources et Volcans,CC,16
200039832,Communauté de communes Pays des Vans en Cévennes,CC,15
200039857,Communauté d'agglomération du Pays de Grasse,CA,23
200039865,Metz Métropole,METRO,46
200039907,Communauté de communes du Sud Messin,CC,34
200039915,Communauté d'agglomération Cannes Pays de Lérins,CA,5
200039931,Communauté de communes Alpes d'Azur,CC,34
200039949,Communauté de communes Rives de Moselle,CC,20
200040038,Communauté de communes Saône Doubs Bresse,CC,26
200040095,Communauté de communes Isle Vern Salembre en Périgord,CC,16
200040111,Communauté de communes Cœur de Chartreuse,CC,17
200040137,Communauté de communes des Lacs de Champagne,CC,43
200040178,Communauté de communes de l'Outre-Forêt,CC,13
200040202,Communauté de communes Provence Verdon,CC,15
200040210,Communauté de communes Lacs et Gorges du Verdon,CC,16
200040244,Communauté d'agglomération du Bocage Bressuirais,CA,33
200040251,Communauté de communes Bassée-Montois,CC,42
200040277,Communauté d'agglomération Agglo du Pays de Dreux,CA,81
200040293,Communauté de communes du Clunisois,CC,41
200040350,Communauté de communes Bugey Sud,CC,41
200040384,Communauté de communes Isle Double Landais,CC,9
200040392,Communauté d'agglomération Le Grand Périgueux,CA,43
200040400,Communauté de communes du Périgord Ribéracois,CC,44
200040418,Communauté de communes du Pays de Serres en Quercy,CC,22
200040426,Communauté de communes du Val de l'Oise,CC,32
200040442,Communauté d'agglomération Luberon Monts de Vaucluse,CA,16
200040459,Communauté d'agglomération Montélimar Agglomération,CA,27
200040475,LBN Communauté,CC,29
200040491,Communauté de communes Porte de DrômArdèche,CC,34
200040509,Communauté de communes du Crestois et de Pays de Saillans Cœur de Drôme,CC,14
200040558,Communauté de communes Écueillé-Valençay,CC,18
200040566,Communauté d'agglomération de l'Ouest Rhodanien,CA,31
200040574,Communauté de communes Beaujolais Pierres Dorées,CC,32
200040590,Communauté d'agglomération Villefranche Beaujolais Saône,CA,18
200040624,Communauté de communes Pays d'Apt-Luberon,CC,25
200040657,Communauté de communes de la Matheysine,CC,43
200040681,Communauté de communes Enclave des Papes-Pays de Grignan,CC,19
200040715,Grenoble-Alpes-Métropole,METRO,49
200040764,Communauté de communes du Sud Corse,CC,7
200040772,Communauté de communes du Perche et Haut Vendômois,CC,23
200040798,Communauté de communes Val Vanoise,CC,9
200040814,Communauté de communes Briance Sud Haute Vienne,CC,11
200040830,Communauté de communes du Pays de Fénelon,CC,17
200040889,Communauté de communes de Portes Sud Périgord,CC,25
200040905,Communauté de communes Carmausin-Ségala,CC,31
200040947,Communauté d'agglomération Cœur de Flandre,CA,50
200040954,Communauté de communes des Hauts de Flandre,CC,40
200041010,Communauté de communes Cœur de Savoie,CC,41
200041051,Communauté de communes Vallée de la Dordogne et Forêt Bessède,CC,20
200041150,Communauté de communes Terrassonnais Haut Périgord Noir,CC,37
200041168,Communauté de communes de la Vallée de l'Homme,CC,26
200041283,Communauté de communes de la Plaine du Rhin,CC,19
200041317,Communauté d'agglomération du Niortais,CA,40
200041325,Communauté de communes du Pays Rhénan,CC,17
200041333,Communauté de communes de Parthenay-Gâtine,CC,38
200041366,Communauté de communes Rhône Crussol,CC,13
200041416,Communauté de communes Airvaudais-Val du Thouet,CC,9
200041440,Communauté de communes de Domme-Villefranche du Périgord,CC,23
200041465,Communauté de communes Val Eyrieux,CC,29
200041499,Communauté de communes Aunis Atlantique,CC,20
200041507,Communauté d'agglomération La Riviera du Levant,CA,4
200041515,Communauté de communes du Bassin de Pont-à-Mousson,CC,31
200041523,Communauté de communes de la Haute Saintonge,CC,129
200041556,Communauté de communes Portes de la Creuse en Marche,CC,16
200041572,Communauté de communes Dronne et Belle,CC,16
200041614,Communauté de communes Aunis Sud,CC,24
200041622,Communauté de communes Ardennes Thiérache,CC,37
200041630,Ardenne Métropole,CA,57
200041689,Communauté de communes Vals de Saintonge Communauté,CC,109
200041721,Communauté de communes de la Haute Comté,CC,37
200041762,Communauté d'agglomération Rochefort Océan,CA,25
200041788,Communauté d'agglomération du Pays Nord Martinique,CA,18
200041853,Communauté de communes du Pays de Montbozon et du Chanois,CC,27
200041861,Communauté de communes du Triangle Vert,CC,42
200041879,Communauté de communes Terres de Saône,CC,39
200041887,Communauté de communes du Val Marnaysien,CC,45
200041960,Communauté de communes Pévèle-Carembault,CC,38
200041994,Communauté de communes Haut Val de Sèvre,CC,19
200042000,Communauté de communes Bruyères-Vallons des Vosges,CC,34
200042174,Communauté d'agglomération Lorient Agglomération,CA,25
200042182,Communauté de communes du Mont des Avaloirs,CC,26
200042190,Communauté d'agglomération de la Porte du Hainaut,CA,47
200042372,Communauté de communes des Coteaux Arrats Gimone,CC,30
200042414,Communauté de communes Bresse Revermont 71,CC,17
200042463,Communauté de communes de la Montagne Noire,CC,22
200042497,Communauté de communes Dombes Saône Vallée,CC,19
200042604,"Communauté de communes de Granville, Terre et Mer",CC,32
200042620,Communauté de communes de la Région de Suippes,CC,16
