etablissement_public_territorial,commune,departement,code_comm
Grand Paris Sud Est Avenir,Villecresnes,94,94075
Grand Paris Seine Ouest,Ville-d'Avray,92,92077
Grand-Orly Seine Bièvre,Villejuif,94,94076
Grand Paris Grand Est,Villemomble,93,93077
Boucle Nord de Seine,Villeneuve-la-Garenne,92,92078
Grand-Orly Seine Bièvre,Villeneuve-le-Roi,94,94077
Grand-Orly Seine Bièvre,Villeneuve-Saint-Georges,94,94078
Paris Terres d'Envol,Villepinte,93,93078
Plaine Commune,Villetaneuse,93,93079
Paris Est Marne & Bois,Villiers-sur-Marne,94,94079
Paris Est Marne & Bois,Vincennes,94,94080
Grand-Orly Seine Bièvre,Viry-Châtillon,91,91687
Grand-Orly Seine Bièvre,Vitry-sur-Seine,94,94081
